duration_s,active,VDD_CORE_A current(0),VDD_SOC_A current(1),VDD_DDR_A current(2),VDD_5V volt(8),VDD_3V3 volt(9)
0.000000,0,0.261123,0.407576,0.181204,5.059730,3.303796
0.100678,0,0.261123,0.407576,0.181204,5.059730,3.303796
0.200311,0,0.261123,0.407576,0.181204,5.059730,3.303796
0.302000,0,0.278259,0.425807,0.204541,5.052912,3.303119
0.401821,0,0.278259,0.425807,0.204541,5.052912,3.303119
0.497231,1,0.278259,0.425807,0.204541,5.052912,3.303119
0.601943,1,0.278259,0.425807,0.204541,5.052912,3.303119
0.700624,1,0.278259,0.425807,0.204541,5.052912,3.303119
0.803434,1,0.278259,0.425807,0.204541,5.052912,3.303119
0.904922,1,0.278259,0.425807,0.204541,5.052912,3.303119
1.002938,1,0.278259,0.425807,0.204541,5.052912,3.303119
1.104251,1,0.278259,0.425807,0.204541,5.052912,3.303119
1.204369,1,0.278259,0.425807,0.204541,5.052912,3.303119
1.301639,1,0.275408,0.364039,0.211231,5.056102,3.307442
1.404766,1,0.275408,0.364039,0.211231,5.056102,3.307442
1.505970,1,0.275408,0.364039,0.211231,5.056102,3.307442
1.604382,1,0.275408,0.364039,0.211231,5.056102,3.307442
1.702254,1,0.275408,0.364039,0.211231,5.056102,3.307442
1.804407,1,0.275408,0.364039,0.211231,5.056102,3.307442
1.904835,1,0.275408,0.364039,0.211231,5.056102,3.307442
2.005585,1,0.275408,0.364039,0.211231,5.056102,3.307442
2.102086,1,0.275408,0.364039,0.211231,5.056102,3.307442
2.205614,1,0.275408,0.364039,0.211231,5.056102,3.307442
2.301666,1,0.292733,0.362433,0.226415,5.054398,3.306862
2.402023,1,0.292733,0.362433,0.226415,5.054398,3.306862
2.505261,1,0.292733,0.362433,0.226415,5.054398,3.306862
2.605142,1,0.292733,0.362433,0.226415,5.054398,3.306862
2.705143,1,0.292733,0.362433,0.226415,5.054398,3.306862
2.803651,1,0.292733,0.362433,0.226415,5.054398,3.306862
2.901299,1,0.292733,0.362433,0.226415,5.054398,3.306862
3.005342,1,0.292733,0.362433,0.226415,5.054398,3.306862
3.105253,1,0.292733,0.362433,0.226415,5.054398,3.306862
3.200871,1,0.292733,0.362433,0.226415,5.054398,3.306862
3.305562,1,0.309812,0.370610,0.224714,5.052546,3.306152
3.400877,1,0.309812,0.370610,0.224714,5.052546,3.306152
3.500856,1,0.309812,0.370610,0.224714,5.052546,3.306152
3.602953,1,0.309812,0.370610,0.224714,5.052546,3.306152
3.705260,1,0.309812,0.370610,0.224714,5.052546,3.306152
3.804730,1,0.309812,0.370610,0.224714,5.052546,3.306152
3.905554,1,0.309812,0.370610,0.224714,5.052546,3.306152
4.002528,1,0.309812,0.370610,0.224714,5.052546,3.306152
4.101002,1,0.309812,0.370610,0.224714,5.052546,3.306152
4.201781,1,0.309812,0.370610,0.224714,5.052546,3.306152
4.300923,1,0.317000,0.398924,0.189752,5.050757,3.305524
4.400513,1,0.317000,0.398924,0.189752,5.050757,3.305524
4.501300,1,0.317000,0.398924,0.189752,5.050757,3.305524
4.600767,1,0.317000,0.398924,0.189752,5.050757,3.305524
4.701347,1,0.317000,0.398924,0.189752,5.050757,3.305524
4.800813,1,0.317000,0.398924,0.189752,5.050757,3.305524
4.900698,1,0.317000,0.398924,0.189752,5.050757,3.305524
5.000651,1,0.317000,0.398924,0.189752,5.050757,3.305524
5.101330,1,0.317000,0.398924,0.189752,5.050757,3.305524
5.201119,1,0.317000,0.398924,0.189752,5.050757,3.305524
5.300718,1,0.314139,0.397131,0.204793,5.058943,3.304831
5.401917,1,0.314139,0.397131,0.204793,5.058943,3.304831
5.501998,1,0.314139,0.397131,0.204793,5.058943,3.304831
5.601216,1,0.314139,0.397131,0.204793,5.058943,3.304831
5.700802,1,0.314139,0.397131,0.204793,5.058943,3.304831
5.800788,1,0.314139,0.397131,0.204793,5.058943,3.304831
5.901498,1,0.314139,0.397131,0.204793,5.058943,3.304831
6.000910,1,0.314139,0.397131,0.204793,5.058943,3.304831
6.100662,1,0.314139,0.397131,0.204793,5.058943,3.304831
6.200640,1,0.314139,0.397131,0.204793,5.058943,3.304831
6.301635,1,0.331370,0.405466,0.203250,5.052183,3.304214
6.400835,1,0.331370,0.405466,0.203250,5.052183,3.304214
6.501571,1,0.331370,0.405466,0.203250,5.052183,3.304214
6.601471,1,0.331370,0.405466,0.203250,5.052183,3.304214
6.705576,1,0.331370,0.405466,0.203250,5.052183,3.304214
6.802434,1,0.331370,0.405466,0.203250,5.052183,3.304214
6.905332,1,0.331370,0.405466,0.203250,5.052183,3.304214
7.000793,1,0.331370,0.405466,0.203250,5.052183,3.304214
7.101407,1,0.331370,0.405466,0.203250,5.052183,3.304214
7.201405,1,0.331370,0.405466,0.203250,5.052183,3.304214
7.304460,1,0.348432,0.413603,0.218161,5.050320,3.303482
7.405293,1,0.348432,0.413603,0.218161,5.050320,3.303482
7.504956,1,0.348432,0.413603,0.218161,5.050320,3.303482
7.605098,1,0.348432,0.413603,0.218161,5.050320,3.303482
7.704392,1,0.348432,0.413603,0.218161,5.050320,3.303482
7.804276,1,0.348432,0.413603,0.218161,5.050320,3.303482
7.904877,1,0.348432,0.413603,0.218161,5.050320,3.303482
8.000988,1,0.348432,0.413603,0.218161,5.050320,3.303482
8.104566,1,0.348432,0.413603,0.218161,5.050320,3.303482
8.201173,1,0.348432,0.413603,0.218161,5.050320,3.303482
8.305348,1,0.345695,0.362002,0.233301,5.053576,3.302904
8.400586,1,0.345695,0.362002,0.233301,5.053576,3.302904
8.501571,1,0.345695,0.362002,0.233301,5.053576,3.302904
8.603981,1,0.345695,0.362002,0.233301,5.053576,3.302904
8.702985,1,0.345695,0.362002,0.233301,5.053576,3.302904
8.805484,1,0.345695,0.362002,0.233301,5.053576,3.302904
8.905300,1,0.345695,0.362002,0.233301,5.053576,3.302904
9.002850,1,0.345695,0.362002,0.233301,5.053576,3.302904
9.105390,1,0.345695,0.362002,0.233301,5.053576,3.302904
9.202002,1,0.345695,0.362002,0.233301,5.053576,3.302904
9.300677,1,0.262787,0.370156,0.189934,5.051733,3.307181
9.401040,1,0.262787,0.370156,0.189934,5.051733,3.307181
9.501495,1,0.262787,0.370156,0.189934,5.051733,3.307181
9.600730,1,0.262787,0.370156,0.189934,5.051733,3.307181
9.700729,1,0.262787,0.370156,0.189934,5.051733,3.307181
9.800637,1,0.262787,0.370156,0.189934,5.051733,3.307181
9.901918,1,0.262787,0.370156,0.189934,5.051733,3.307181
10.001500,1,0.262787,0.370156,0.189934,5.051733,3.307181
10.100672,1,0.262787,0.370156,0.189934,5.051733,3.307181
10.201069,1,0.262787,0.370156,0.189934,5.051733,3.307181
10.301210,1,0.269914,0.388374,0.204931,5.054909,3.301495
10.401725,1,0.269914,0.388374,0.204931,5.054909,3.301495
10.500859,1,0.269914,0.388374,0.204931,5.054909,3.301495
10.602206,0,0.269914,0.388374,0.204931,5.054909,3.301495
10.700975,0,0.269914,0.388374,0.204931,5.054909,3.301495
10.801888,0,0.269914,0.388374,0.204931,5.054909,3.301495
10.902193,0,0.269914,0.388374,0.204931,5.054909,3.301495
11.000688,0,0.269914,0.388374,0.204931,5.054909,3.301495
11.102009,0,0.269914,0.388374,0.204931,5.054909,3.301495
11.201403,0,0.269914,0.388374,0.204931,5.054909,3.301495
11.300952,0,0.277097,0.386660,0.203335,5.053120,3.300850
11.400580,0,0.277097,0.386660,0.203335,5.053120,3.300850
11.501965,0,0.277097,0.386660,0.203335,5.053120,3.300850
11.600772,0,0.277097,0.386660,0.203335,5.053120,3.300850
11.701828,0,0.277097,0.386660,0.203335,5.053120,3.300850
11.800579,0,0.277097,0.386660,0.203335,5.053120,3.300850
11.900634,0,0.277097,0.386660,0.203335,5.053120,3.300850
12.002361,0,0.277097,0.386660,0.203335,5.053120,3.300850
12.102970,0,0.277097,0.386660,0.203335,5.053120,3.300850
12.202868,0,0.277097,0.386660,0.203335,5.053120,3.300850
12.305531,0,0.284310,0.394964,0.210097,5.051349,3.305214
12.405218,0,0.284310,0.394964,0.210097,5.051349,3.305214
12.504350,0,0.284310,0.394964,0.210097,5.051349,3.305214
